source	target_relative_to_media_root	public_url	size_bytes	sha256
apps/web/public/vendor/valve/video/heroes-favorite/huskar.webm	dota/heroes-favorite/huskar.webm	https://prereborn.ru/media/dota/heroes-favorite/huskar.webm	267259	26761032d3f3de18c0d9002e3cbdde1e40bc9780084355458ba94b5cbb8d7b07
apps/web/public/vendor/valve/video/heroes-favorite/invoker.webm	dota/heroes-favorite/invoker.webm	https://prereborn.ru/media/dota/heroes-favorite/invoker.webm	320128	bd65ad69577706a926163c4bcc8eaa5933898cdbb2e31a6a8fdaaa14f4c58dc4
apps/web/public/vendor/valve/video/heroes-favorite/jakiro.webm	dota/heroes-favorite/jakiro.webm	https://prereborn.ru/media/dota/heroes-favorite/jakiro.webm	461206	2fcdd7b8de6cb7e465eac28938a6cdd962d88480505e16658fae134031518da1
apps/web/public/vendor/valve/video/heroes-favorite/juggernaut.webm	dota/heroes-favorite/juggernaut.webm	https://prereborn.ru/media/dota/heroes-favorite/juggernaut.webm	369793	8b16840bc567e955b5d50787dc1ebbfba583341f08f6b274a57a83a2d86f26bb
apps/web/public/vendor/valve/video/heroes-favorite/keeper_of_the_light.webm	dota/heroes-favorite/keeper_of_the_light.webm	https://prereborn.ru/media/dota/heroes-favorite/keeper_of_the_light.webm	296891	7e1cf15d6101801b80902f60551e21f816f2dd66502127a9a034a90702865a31
apps/web/public/vendor/valve/video/heroes-favorite/kez.webm	dota/heroes-favorite/kez.webm	https://prereborn.ru/media/dota/heroes-favorite/kez.webm	383588	367a3d0e7972b8a7ec9d7d407c0ddb233394c36b2f63e691b7c99a3b428beb7d
apps/web/public/vendor/valve/video/heroes-favorite/kunkka.webm	dota/heroes-favorite/kunkka.webm	https://prereborn.ru/media/dota/heroes-favorite/kunkka.webm	104036	f7d4bb0fbe176b14b706e9e1df538df948041c2f195609b74abe8eaf86b273bc
apps/web/public/vendor/valve/video/heroes-favorite/largo.webm	dota/heroes-favorite/largo.webm	https://prereborn.ru/media/dota/heroes-favorite/largo.webm	144237	a1e06cf085b4205a3540a04f76a3c9e97f0553a7bfb524b9125e5c7f661a1f76
apps/web/public/vendor/valve/video/heroes-favorite/legion_commander.webm	dota/heroes-favorite/legion_commander.webm	https://prereborn.ru/media/dota/heroes-favorite/legion_commander.webm	161944	9c228283e8edb3fa6d509225f6fdd4d87ce01f1426e55c8f6b82fbc070522b79
apps/web/public/vendor/valve/video/heroes-favorite/leshrac.webm	dota/heroes-favorite/leshrac.webm	https://prereborn.ru/media/dota/heroes-favorite/leshrac.webm	221349	d9da19e9321d692bf1ee90cae6c98f8d14425b90ae7b4f6206bbe71e7668cc77
apps/web/public/vendor/valve/video/heroes-favorite/lich.webm	dota/heroes-favorite/lich.webm	https://prereborn.ru/media/dota/heroes-favorite/lich.webm	366030	a71a726c3e4f86296567a9ec398cc467676b77e962603c07a91afd27924ea10e
apps/web/public/vendor/valve/video/heroes-favorite/life_stealer.webm	dota/heroes-favorite/life_stealer.webm	https://prereborn.ru/media/dota/heroes-favorite/life_stealer.webm	617125	2f496d4af713f582b2611099646d84eaa842b843de984797dcf7c48605521115
apps/web/public/vendor/valve/video/heroes-favorite/lina.webm	dota/heroes-favorite/lina.webm	https://prereborn.ru/media/dota/heroes-favorite/lina.webm	657634	1f1c08cd0a9d2f86643981a45584bccd5ca5e784849e6e39312da7fece1f9640
apps/web/public/vendor/valve/video/heroes-favorite/lion.webm	dota/heroes-favorite/lion.webm	https://prereborn.ru/media/dota/heroes-favorite/lion.webm	264692	b5f5d5f43d161f748c30efdcec9b7b31373e0a3bdbcaee411acec5412f43915a
apps/web/public/vendor/valve/video/heroes-favorite/lone_druid.webm	dota/heroes-favorite/lone_druid.webm	https://prereborn.ru/media/dota/heroes-favorite/lone_druid.webm	309173	febeb6da77743b1423b9d0591b4f9bf5e09251983965df18137bc17cb9df9ab7
apps/web/public/vendor/valve/video/heroes-favorite/luna.webm	dota/heroes-favorite/luna.webm	https://prereborn.ru/media/dota/heroes-favorite/luna.webm	595917	d6d642d3494fa73a89741bb6bc07e26c01576bf709de7852e368a0443ccc818d
apps/web/public/vendor/valve/video/heroes-favorite/lycan.webm	dota/heroes-favorite/lycan.webm	https://prereborn.ru/media/dota/heroes-favorite/lycan.webm	185307	99c705b51e7d7ddd8d9657aa400fdb656be0d1c355212829111c32a8daca8a1a
apps/web/public/vendor/valve/video/heroes-favorite/magnataur.webm	dota/heroes-favorite/magnataur.webm	https://prereborn.ru/media/dota/heroes-favorite/magnataur.webm	297228	750720b81d9b1d81d5e9d8dae75f3ba6d0eb81032197a5818fdbbf9f636e26af
apps/web/public/vendor/valve/video/heroes-favorite/marci.webm	dota/heroes-favorite/marci.webm	https://prereborn.ru/media/dota/heroes-favorite/marci.webm	115966	6a2888f34e9947151a02c67d6b6fd4885ba5575e285caaab1831a0aebd0017ce
apps/web/public/vendor/valve/video/heroes-favorite/mars.webm	dota/heroes-favorite/mars.webm	https://prereborn.ru/media/dota/heroes-favorite/mars.webm	306406	babe6251bd3cb5b8168aed9681d472276cfdd890c06626c0adb546a6cedba824
apps/web/public/vendor/valve/video/heroes-favorite/medusa.webm	dota/heroes-favorite/medusa.webm	https://prereborn.ru/media/dota/heroes-favorite/medusa.webm	438530	8af644d5bcbc1d9819119139e0840ec81a044cb77158f75e232fdb1b321005c0
apps/web/public/vendor/valve/video/heroes-favorite/meepo.webm	dota/heroes-favorite/meepo.webm	https://prereborn.ru/media/dota/heroes-favorite/meepo.webm	603317	52ceaff46f5bc2bae9daab05274ea2acd3bfc78b1353c0619cd875873c48870b
apps/web/public/vendor/valve/video/heroes-favorite/mirana.webm	dota/heroes-favorite/mirana.webm	https://prereborn.ru/media/dota/heroes-favorite/mirana.webm	129734	483e2d5508bbf0883283ceab2d1e54008b5c05e05f4df04af94e7ced0628b893
apps/web/public/vendor/valve/video/heroes-favorite/monkey_king.webm	dota/heroes-favorite/monkey_king.webm	https://prereborn.ru/media/dota/heroes-favorite/monkey_king.webm	545255	7060880ab442655877113c80bf3c1b27a751e134101f840a5521b426e6ef064a
apps/web/public/vendor/valve/video/heroes-favorite/morphling.webm	dota/heroes-favorite/morphling.webm	https://prereborn.ru/media/dota/heroes-favorite/morphling.webm	610438	06ecb4f36120814ea42a709cb560b61eb3689fe49786ba31b60f16ef8b4c0315
apps/web/public/vendor/valve/video/heroes-favorite/muerta.webm	dota/heroes-favorite/muerta.webm	https://prereborn.ru/media/dota/heroes-favorite/muerta.webm	700016	907ff30a69f880c27ad06267e31694e5242c97b863600df5cfb6cbbcca73d58c
apps/web/public/vendor/valve/video/heroes-favorite/naga_siren.webm	dota/heroes-favorite/naga_siren.webm	https://prereborn.ru/media/dota/heroes-favorite/naga_siren.webm	204308	ef8f2c1a549f0cb698559e91016ecd6f0935e260948ed0937cf704c61b61f73a
apps/web/public/vendor/valve/video/heroes-favorite/necrolyte.webm	dota/heroes-favorite/necrolyte.webm	https://prereborn.ru/media/dota/heroes-favorite/necrolyte.webm	226551	3c01757d036cd943cac03438e577c87dac9994ad4278207501830eba77038afc
apps/web/public/vendor/valve/video/heroes-favorite/nevermore.webm	dota/heroes-favorite/nevermore.webm	https://prereborn.ru/media/dota/heroes-favorite/nevermore.webm	484706	e2ee7ce1e566d08563408099b1b9c47fa2b4da0c3c09b37843a896171a163b94
apps/web/public/vendor/valve/video/heroes-favorite/night_stalker.webm	dota/heroes-favorite/night_stalker.webm	https://prereborn.ru/media/dota/heroes-favorite/night_stalker.webm	203846	aede0601eb2e2e7344f05b3e8fc834ab334e956e80dc0a09bcfe91e4d44975cf
apps/web/public/vendor/valve/video/heroes-favorite/nyx_assassin.webm	dota/heroes-favorite/nyx_assassin.webm	https://prereborn.ru/media/dota/heroes-favorite/nyx_assassin.webm	502342	7b371a642a4b5329318f050c474ba72810a84a85bebf37343fa27305b1af6ff6
apps/web/public/vendor/valve/video/heroes-favorite/obsidian_destroyer.webm	dota/heroes-favorite/obsidian_destroyer.webm	https://prereborn.ru/media/dota/heroes-favorite/obsidian_destroyer.webm	422809	94380b518b12d830db9f12c3e8f4ecb441f3cb7f60e77c37307c3abae3acfcaf
apps/web/public/vendor/valve/video/heroes-favorite/ogre_magi.webm	dota/heroes-favorite/ogre_magi.webm	https://prereborn.ru/media/dota/heroes-favorite/ogre_magi.webm	416525	2fcba1f5e4f17977966d17db3f1b529dc82f3d658cb5afc0936f6eab04f574cf
apps/web/public/vendor/valve/video/heroes-favorite/omniknight.webm	dota/heroes-favorite/omniknight.webm	https://prereborn.ru/media/dota/heroes-favorite/omniknight.webm	98152	01baeb7f97e892eeab4a5f8186c65e595d823c0394d9d9a95deb9d68eb35590e
apps/web/public/vendor/valve/video/heroes-favorite/oracle.webm	dota/heroes-favorite/oracle.webm	https://prereborn.ru/media/dota/heroes-favorite/oracle.webm	281914	2176f9dc0d48e32ca669243bc8bcbca07e98636bd7ee2207095dcdddab5516e7
apps/web/public/vendor/valve/video/heroes-favorite/pangolier.webm	dota/heroes-favorite/pangolier.webm	https://prereborn.ru/media/dota/heroes-favorite/pangolier.webm	205233	d6b22a7e485219419a8bc9fbf8bb795a138f7f22cbe85a1987f47098a63a5365
apps/web/public/vendor/valve/video/heroes-favorite/phantom_assassin.webm	dota/heroes-favorite/phantom_assassin.webm	https://prereborn.ru/media/dota/heroes-favorite/phantom_assassin.webm	173352	2d0de276b48ef78559b6861344121e45f8acc7034b4e1334bcc1c13c6ae6eaf2
apps/web/public/vendor/valve/video/heroes-favorite/phantom_lancer.webm	dota/heroes-favorite/phantom_lancer.webm	https://prereborn.ru/media/dota/heroes-favorite/phantom_lancer.webm	131574	dbfc25e2567b73cca91da12d853b34e8df4413d985d580281b96c4a94682ef90
apps/web/public/vendor/valve/video/heroes-favorite/phoenix.webm	dota/heroes-favorite/phoenix.webm	https://prereborn.ru/media/dota/heroes-favorite/phoenix.webm	715830	638ef3f40cd048221dddf5c482abf96acd9604a4bc2dfa25217b1a9092729d7a
apps/web/public/vendor/valve/video/heroes-favorite/primal_beast.webm	dota/heroes-favorite/primal_beast.webm	https://prereborn.ru/media/dota/heroes-favorite/primal_beast.webm	1214809	66313e15553a2443460cf946e44438ebf4183d0b7a04018bae8710e99dd6a8a3
apps/web/public/vendor/valve/video/heroes-favorite/puck.webm	dota/heroes-favorite/puck.webm	https://prereborn.ru/media/dota/heroes-favorite/puck.webm	1373333	0d53af04edc4cac5e3911422d8619695105f35029865210d7818e856900225c3
apps/web/public/vendor/valve/video/heroes-favorite/pudge.webm	dota/heroes-favorite/pudge.webm	https://prereborn.ru/media/dota/heroes-favorite/pudge.webm	137319	b613d6d5e95448af41b5383a123cb7ae63b2a8cfa11c243ae15ebb215233399e
